company,time,revenue_m
BKE,2024,1261.1
BKE,2025,1217.7
BKU,2010,557.7
BKU,2011,638.1
BKU,2012,720.9
BKU,2013,738.8
BKU,2014,783.7
BKU,2015,880.8
BKU,2016,1059.2
BKU,2017,1204.5
BKU,2018,1449.1
BKU,2019,1281.9
BKU,2020,1067.6
BKU,2021,959.4
BKU,2022,1230.5
BKU,2023,1857.6
BKU,2024,1925.1
BKU,2025,1792.8
BLK,2022,11061.0
BLK,2023,11012.0
BLK,2024,12794.0
BOKF,2008,1061.6
BOKF,2009,914.6
BOKF,2010,851.1
BOKF,2011,811.6
BOKF,2012,791.6
BOKF,2013,745.4
BOKF,2014,732.2
BOKF,2015,766.8
BOKF,2016,829.1
BOKF,2017,972.8
BOKF,2018,1228.4
BOKF,2019,1532.0
BOKF,2020,1269.0
BOKF,2021,1179.9
BOKF,2022,1392.1
BOKF,2023,2342.5
BOKF,2024,2636.5
BOKF,2025,2531.3
BRKR,2009,1114.5
BRKR,2010,1304.9
BRKR,2011,1651.7
BRKR,2012,1791.4
BRKR,2013,1839.4
BRKR,2014,1808.9
BRKR,2015,1623.8
BRKR,2016,1611.3
BRKR,2017,1765.9
BRKR,2018,1895.6
BRO,2008,977.6
BRO,2009,967.9
BRO,2010,973.5
BRO,2011,1013.5
BRO,2012,1200.0
BRO,2013,1363.3
BRO,2014,1575.8
BRO,2015,1660.5
BRO,2016,1766.6
BRO,2017,1881.3
BRO,2018,2014.2
BRO,2019,2392.2
BRO,2020,2613.4
BRO,2021,3051.4
BRO,2022,3573.4
BRO,2023,4257.1
BRO,2024,4805.0
BRO,2025,5902.0
BROS,2019,238.4
BROS,2020,327.4
BROS,2021,497.9
BROS,2022,739.0
BROS,2023,965.8
BROS,2024,1281.0
BROS,2025,1638.2
BSX,2012,6958.0
BSX,2013,7072.0
BSX,2014,7462.0
BSX,2015,8068.0
BSX,2016,9076.0
BSY,2018,691.7
BSY,2019,734.8
BX,2009,1773.7
BX,2010,3119.3
BX,2011,3252.6
BX,2012,4019.4
BX,2013,6613.2
BX,2014,7484.7
BX,2015,4646.6
BX,2016,5125.8
BX,2017,7119.1
BX,2018,6833.3
BX,2019,7338.3
BX,2020,6101.9
BX,2021,22577.1
BX,2022,8517.7
BX,2023,8022.8
BX,2024,13230.0
BX,2025,14450.3
BXP,2007,1482.3
BXP,2008,1469.4
BXP,2009,1522.2
BXP,2010,1550.8
BXP,2011,1759.5
BXP,2012,1876.3
BXP,2013,2135.5
BXP,2014,2397.0
BXP,2015,2490.8
BXP,2016,2550.8
BXP,2017,2602.1
BXP,2018,2717.1
BXP,2019,2960.6
BXP,2020,2765.7
BXP,2021,2888.6
BXP,2022,3108.6
BXP,2023,3273.6
BXP,2024,3407.7
BXP,2025,3482.3
BYD,2016,2199.3
BYD,2017,2400.8
BYD,2018,2626.7
BYND,2017,32.6
BYND,2018,87.9
BYND,2019,297.9
BYND,2020,406.8
BYND,2021,464.7
BYND,2022,418.9
BYND,2023,343.4
BYND,2024,326.5
CAI,2023,306.1
CAI,2024,412.3
CAI,2025,812.0
CARG,2015,98.6
CARG,2016,198.1
CARG,2017,316.9
CCL,2007,13033.0
CCL,2008,14646.0
CCL,2009,13157.0
CCL,2014,15884.0
CCL,2015,15714.0
CCL,2016,16389.0
CCL,2017,17510.0
CCL,2018,18881.0
CDRE,2020,404.6
CDRE,2021,427.3
CDRE,2022,457.8
CDRE,2023,482.5
CDRE,2024,567.6
CDRE,2025,610.3
CG,2010,2798.9
CG,2011,2845.3
CG,2012,2973.1
CG,2013,4441.2
CG,2014,3880.3
CG,2015,3006.2
CG,2016,2274.3
CG,2017,3676.2
CG,2018,2427.2
CG,2019,3377.0
CG,2020,2934.6
CG,2021,8782.1
CG,2022,4438.7
CG,2023,2963.9
CG,2024,5425.8
CG,2025,4779.8
CHCI,2017,45.4
CHCI,2018,56.7
CHCI,2019,25.3
CHCI,2020,28.7
CHCI,2021,31.1
CHCI,2022,39.3
CHCI,2023,44.7
CHCI,2024,51.3
CHCI,2025,62.9
CMCSA,2007,31060.0
CMCSA,2008,34423.0
CMCSA,2009,35756.0
CMCSA,2010,37937.0
CMCSA,2011,55842.0
CMCSA,2012,62570.0
CMCSA,2013,64657.0
CMCSA,2014,68775.0
CMCSA,2015,74510.0
CMCSA,2016,80403.0
CMCSA,2017,84526.0
CMCSA,2018,94507.0
CMCSA,2019,108942.0
CMCSA,2020,103564.0
CMCSA,2021,116385.0
CMCSA,2022,121427.0
CMCSA,2023,121572.0
CMG,2016,3904.4
CMG,2017,4476.4
CMG,2018,4865.0
CMG,2019,5586.4
CMG,2020,5984.6
CMG,2021,7547.1
CMG,2022,8634.7
CMG,2023,9871.6
CMG,2024,11313.9
CMG,2025,11925.6
CNA,2009,8472.0
CNA,2010,9209.0
CNA,2011,8947.0
CNA,2012,9547.0
CNA,2013,10113.0
CNA,2014,9692.0
CNA,2015,9101.0
CNA,2016,9366.0
CNA,2017,9542.0
CNA,2018,10134.0
CNA,2019,10767.0
CNA,2020,10808.0
CNA,2021,11908.0
CNA,2022,11879.0
CNA,2023,13299.0
CNA,2024,14270.0
CNA,2025,14989.0
COF,2008,13893.0
COF,2009,12983.0
COF,2010,16171.0
COF,2011,16279.0
COF,2012,21396.0
COF,2013,22384.0
COF,2014,22290.0
COF,2015,23413.0
COF,2016,25501.0
COF,2017,27237.0
COF,2018,28076.0
COF,2019,28593.0
COF,2020,28523.0
COF,2021,30435.0
COF,2022,34250.0
COF,2023,36787.0
COF,2024,39112.0
COF,2025,53434.0
COIN,2019,533.7
COIN,2020,1277.5
COIN,2021,7839.4
COIN,2022,3194.2
COIN,2023,3108.4
COIN,2024,6564.0
COIN,2025,7181.3
COKE,2017,4287.6
COKE,2018,4625.4
COKE,2019,4826.5
COKE,2020,5007.4
COKE,2021,5562.7
COKE,2022,6201.0
COKE,2023,6653.9
COKE,2024,6899.7
COKE,2025,7228.1
COLM,2016,2377.0
COLM,2017,2466.1
COLM,2018,2802.3
COLM,2019,3042.5
CPAY,2016,1831.5
CPAY,2017,2249.5
CPAY,2018,2433.5
CPAY,2019,2648.8
CPAY,2020,2388.9
CPAY,2021,2833.7
CPAY,2022,3427.1
CPAY,2023,3757.7
CPAY,2024,3974.6
CPAY,2025,4528.4
CPB,2017,5837.0
CPB,2018,6615.0
CPB,2019,8107.0
CPB,2020,8691.0
CPB,2021,8476.0
CPB,2022,8562.0
CPB,2023,9357.0
CPB,2024,9636.0
CPB,2025,10253.0
CPNG,2019,6273.3
CPNG,2020,11967.3
CPNG,2021,18406.4
CPNG,2022,20582.6
CPNG,2023,24383.0
CPNG,2024,30268.0
CPNG,2025,34534.0
CPRT,2014,1163.5
CPRT,2015,1146.1
CPRT,2016,1268.4
CPRT,2017,1448.0
CPRT,2018,1805.7
CRCL,2023,1450.5
CRCL,2024,1676.3
CRCL,2025,2746.6
CRDO,2020,53.8
CRDO,2021,58.7
CRDO,2022,106.5
CRDO,2023,184.2
CRDO,2024,193.0
CRDO,2025,436.8
CRGY,2019,1087.2
CRGY,2020,754.2
CRGY,2021,1477.0
CRGY,2022,3057.1
CRGY,2023,2382.6
CRGY,2024,2930.9
CRGY,2025,3579.8
CRK,2010,349.1
CRK,2011,434.4
CRK,2012,456.2
CRK,2013,420.3
CRK,2014,555.2
CRM,2008,748.7
CRM,2009,1076.8
CRM,2010,1305.6
CRM,2011,1657.1
CRM,2012,2266.5
CRM,2013,3050.2
CRM,2014,4071.0
CRM,2015,5373.6
CRM,2016,6667.2
CRM,2017,8392.0
CRVL,2023,718.6
CRVL,2024,795.3
CRVL,2025,895.6
CRWD,2018,118.8
CRWD,2019,249.8
CRWD,2020,481.4
CRWD,2021,874.4
CRWD,2022,1451.6
CRWD,2023,2241.2
CRWD,2024,3055.6
CRWD,2025,3953.6
CRWD,2026,4812.0
CRWV,2023,229.0
CRWV,2024,1915.0
CRWV,2025,5131.0
CVNA,2017,858.9
CVNA,2018,1955.5
CVNA,2019,3939.9
CVNA,2020,5586.6
CVNA,2021,12814.0
CVNA,2022,13604.0
CVNA,2023,10771.0
CVNA,2024,13673.0
CVNA,2025,20322.0
CWGL,2016,64.6
CWGL,2017,63.2
CWGL,2018,67.8
CWGL,2019,67.1
CWGL,2020,64.1
CWGL,2021,68.9
CWGL,2022,74.2
CWGL,2023,72.4
CWGL,2024,73.0
