person,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
j_hyatt_brown,BRO,,,11.68,1240.385,2.95
j_joe_ricketts,SCHW,,,,,
j_tomilson_hill,BX,,,,,
jack_cogen,CRWV,,,,,
jack_dorsey,XYZ,,,0.0,0.003,
james_chambers,WRB,,,,,
james_chao,WLK,,,,,
james_clark,GOOGL,,,,,
james_dolan,MSGE,,,14.15,1500.0,9.25
james_litinsky,MP,8.3,,6.04,900.0,3.08
james_tisch,CNA,,,,,
jamie_dimon,JPM,,,37.68,1500.0,29.5
jan_koum,META,,,,,
jane_lauder,EB,,,,,
jared_isaacman,FOUR,,,9.47,50.0,9.05
jared_kaplan,PANW,,,,,
jared_kushner,HPK,,,,,
jason_murray,PACS,,,5.04,1673.077,
jay_chaudhry,ZS,16.8,,0.03,23.66,
jay_robert_pritzker,ET,,,,,
jayshree_ullal,ANET,2.99,,8.95,300.0,6.86
jayz_shawn_carter,XYZ,,,,,
jb_straubel,QS,,,,,
jean_gigi_pritzker,BYND,,,,,
jean_marc_chapus,KKR,,,,,
jeff_bezos,AMZN,,,1.68,81.84,
jeff_greene,MSTR,,,,,
jeff_lawson,TWLO,,,9.43,2.443,
jeff_rothschild,META,,,,,
jeff_skoll,EBAY,,,,,
jeff_sprecher,ICE,,,19.52,1250.0,11.9
jeff_t_green,TTD,,,,,
jeff_tangney,DOCS,,,1.2,600.0,15.43
jeffrey_lorberbaum,MHK,16.1,,4.78,1429.764,
jeffrey_michael,CRVL,,,1.19,651.442,
jennifer_gilbert,RKT,,,,,
jennifer_pritzker,H,1.8,22.7,6.87,655.444,
jensen_huang,NVDA,3.77,,49.87,1486.199,38.81
jeremy_allaire,CRCL,,,,,
jerry_jones,CRK,,,,,
jerry_moyes,KNX,,,,,
jerry_yang,BABA,,,,,
jessica_steinbrenner,GS,,,,,
jim_breyer,BX,,,,,
jim_coulter,TPG,,,47.05,500.0,32.28
jim_kavanaugh,ET,,,,,
jim_koch,SAM,,,,,
jim_mckelvey,XYZ,,,,,
jim_walton,WMT,,,,,
jimmy_rane,PRM,,,,,
jitendra_mohan,ALAB,,,50.93,575.833,49.54
jody_allen,AMCX,,,,,
joe_gebbia,ABNB,,,,,
joe_kiani,MASI,7.5,,15.93,1209.181,10.26
joe_lonsdale,PLTR,,,,,
joe_mansueto,MORN,,,0.11,100.0,
joe_shoen,UHAL,50.1,50.1,1.03,675.004,0.02
joel_glazer,RKT,,,,,
joel_greenberg,BKE,,,,,
john_a_sobrato,CVNA,,,,,
john_abele,BSX,,,,,
john_bicket,IOT,,,5.52,49.621,5.43
john_brown,SYK,5.3,,,,
john_catsimatidis,JOUT,,,,,
john_doerr,GOOGL,,,,,
john_fish,UBER,,,,,
john_fisher,GAP,,,,,
john_goff,CRGY,,,,,
john_h_macmillan_iv_iv,META,,,24.4,0.001,
john_krystynak,APP,,,,,
john_menard_jr,PII,,,,,
john_morgan,H,,,,,
john_oyler,ONC,4.86,,,,
john_paul_dejoria,HPK,,,,,
john_stanton,COLM,,,,,
john_tyson,TSN,,,17.52,1212.0,4.93
johnelle_hunt,JBHT,19.4,,,,
jon_stryker,SYK,,,,,
jon_winkelried,TPG,,,32.75,500.0,17.05
jonathan_gray,BX,,,,,
jonathan_nelson,ADBE,,,,,
jonathan_tisch,L,,,,,
jorge_mas,MTZ,15.0,,,,
jorge_perez,OKLO,,,,,
joseph_bae,KKR,,,,,
joseph_steinberg,CWGL,15.9,,,,
joshua_harris,APO,,,,,
justin_ishbia,UWMC,,,13.15,600.0,1.03
kalen_jackson,INVA,,,,,
kamal_ghaffarian,LUNR,,,,,
karen_pritzker,AAPL,,,,,
karthik_sarma,GBDC,,,,,
katharine_rayner,UWMC,,,,,
kathy_britton,SCHW,,,,,
kavitark_ram_shriram,GOOGL,,,,,
keith_bentley,BSY,,,16.42,200.0,12.19
keith_dunleavy,INVA,,,,,
kelcy_warren,ET,,,,,
ken_kendrick,META,,,,,
ken_xie,FTNT,,,13.14,597.0,11.94
kenneth_dart,ARES,,,,,
kenneth_hao,FCNCB,,,,,
kenneth_langone,LLY,,,,,
kenneth_tropin,META,,,,,
kevin_glazer,KNX,,,,,
kevin_marchetti,LINE,71.7,,,,
kevin_plank,UAA,,,10.96,803.462,9.1
kim_kardashian,FOUR,,,,,
kimbal_musk,TSLA,19.8,,,,
lamar_hunt_jr,BABA,,,,,
larry_culp,GE,,,24.72,2000.0,10.63
larry_ellison,ORCL,,,5.64,0.001,
larry_page,GOOGL,,,,,
larry_silverstein,CDRE,,,,,
lauren_leichtman,STZ,,,,,
laurence_fink,BLK,,,30.77,1500.0,18.15
laurene_powell_jobs,AAPL,,,,,
laurie_tisch,L,,,,,
lawrence_golub,GBDC,,,,,
lee_ainslie,STZ,,,,,
lee_bass,XOM,,,,,
leo_koguan,HD,,,,,
leon_black,APO,,,,,
leonard_abess,HLNE,,,,,
leonard_schleifer,REGN,,,6.82,1941.1,
leonard_stern,ARES,,,,,
les_wexner,BBWI,,,,,
liesel_pritzker_simmons,AN,,,,,
lisa_su,AMD,,,9.05,742.5,6.23
lloyd_blankfein,GS,,,,,
lorenzo_fertitta,RRR,,,3.33,1000.0,
lucy_guo,CPRT,,,,,
lucy_stitzer,WLK,,,,,
lukas_walton,WMT,,,,,
lyndal_stephens_greth,FANG,,,,,
mackenzie_scott,AMZN,,,,,
marc_andreessen,COIN,,,,,
marc_benioff,CRM,2.4,,55.07,1550.0,28.03
marc_lipschultz,OWL,,,23.88,500.0,22.67
marc_lore,ACHR,,,,,
marc_rowan,APO,,,0.76,100.0,
marcelo_claure,TMUS,,,,,
marco_degeorge,SNOW,,,,,
margaret_baker,MDLN,,,,,
marianne_liebmann,APP,,,,,
marilyn_simons,APO,,,,,
marissa_mayer,GOOGL,,,,,
mark_attanasio,COLM,,,,,
mark_cuban,RDI,,,,,
mark_gallogly,EL,,,,,
mark_hancock,PACS,,,5.04,1673.077,
mark_jones,GSHD,,,,,
mark_pincus,AUR,,,,,
mark_shoen,UHAL,50.1,50.1,1.03,675.004,0.02
mark_stevens,ABNB,,,,,
mark_zuckerberg,META,,,27.22,0.001,
martha_ingram,IMKTA,,,,,
martine_rothblatt,UTHR,6.7,,,,
marty_horton,DHI,,,,,
mary_alice_dorrance_malone,CPB,,,,,
mat_ishbia,UWMC,,,13.15,600.0,1.03
matthew_prince,NET,,,,400.0,
max_levchin,AFRM,,,0.54,38.834,
max_lytvyn,TSN,,,,,
meg_whitman,CRWV,,,,,
melinda_french_gates,AN,20.6,,,,
michael_arougheti,ARCC,,,,,
michael_cagney,FIGR,,,,,
michael_chiang,MPWR,,,,,
michael_dell,DELL,,,3.09,950.0,
michael_dunlap,NNI,,,,,
michael_intrator,CRWV,,,,,
michael_jordan,DKNG,,,,,
michael_kim,AFRM,,,,,
michael_krasny,STLD,,,,,
michael_milken,ARES,,,,,
michael_patterson,BLK,,,,,
michael_rees,OWL,,,29.85,500.0,29.12
michael_sabel,VG,,,,,
michael_saylor,MSTR,,,0.79,0.001,
michael_steinhardt,WT,,,,,
michael_truell,TSLA,,,,,
michael_xie,FTNT,,,6.6,445.0,5.87
michelle_zatlyn,TEAM,,,,,
micky_arison,CCL,7.6,6.8,,,
mike_brown,BLK,,,,,
mike_speiser,PSTG,,,,,
milane_frantz,EPD,,,,,
min_kao,GRMN,,,,,
miriam_adelson,LVS,48.6,,,,
mitchell_jacobson,MSM,15.0,,,,
mitchell_rales,DHR,4.9,,,,
mortimer_zuckerman,BXP,,,,,
nancy_mills_barnett,MDLN,,,,,
nancy_walton_laurie,FMBH,,,,,
nathan_blecharczyk,ABNB,,,8.79,442.308,4.89
neal_blue,TPG,,,,,
neil_bluhm,RSI,,,,,
nelson_peltz,WEN,,,,,
nicholas_howley,PRM,,,,,
nicholas_pritzker,H,1.8,22.7,6.87,655.444,
nicholas_woodman,GPRO,,,2.37,850.0,1.52
nick_caporella,FIZZ,,,,,
nicolas_berggruen,NOMD,,,,,
nicole_shanahan,GOOGL,,,,,
nikesh_arora,PANW,,,99.74,1000.0,94.86
niraj_shah,W,,,0.28,80.0,
noam_gottesman,NOMD,,,,,
norma_lerner,CARG,,,,,
norman_asbjornson,AAON,17.1,,,,
norman_braman,PSA,,,,,
noubar_afeyan,DNLI,,,,,
olivia_holding,FCNCB,,,11.01,1040.0,
olivier_pomel,DDOG,,,,,
omani_carson,BYD,,,,,
oprah_winfrey,WBD,,,,,
orlando_bravo,VG,,,,,
pablo_legorreta,PROK,38.3,38.3,,,
palmer_luckey,META,,,,,
pantas_sutardja,CRDO,,,,,
pat_neal,ANGX,,,,,
pat_stryker,SYK,,,,,
patrick_hanrahan,CRM,,,,,
patrick_ryan,AON,,,,,
patrick_zalupski,DFH,,,12.88,1186.539,5.14
patrizio_vinciarelli,VICR,29.7,93.9,0.72,459.542,0.2
paul_saville,NVR,6.3,,,,
paul_sciarra,JOBY,7.4,,,,
peggy_cherng,EWBC,,,,,
penny_pritzker,H,,6.8,6.87,655.444,
peter_briger,FIG,,,,,
peter_gassner,VEEV,,,172.44,445.833,
peter_guber,RNAC,,,,,
peter_kellogg,GS,,,,,
peter_ludwig,UAA,,,,,
peter_thiel,CMMB,,,,,
phil_knight,NKE,,,,,
phil_ruffin,IEP,,,,,
pierre_omidyar,EBAY,,,,,
raj_sardana,XYZ,,,,,
rakesh_gangwal,LUV,,,,,
ralph_lauren,RL,,,24.18,1750.0,11.0
randa_williams,EPD,,,,,
randal_j_kirk,ABBV,,,,,
randolph_lerner,BAC,,,,,
ray_davis,ET,,,,,
reagan_horton,DHI,,,,,
reed_hastings,NFLX,,,1.75,100.0,0.97
reid_hoffman,AUR,,,,,
ric_elias,GAP,,,,,
richard_devos_jr,H,,,,,
richard_fairbank,COF,,,30.83,,25.21
richard_hayne,URBN,19.8,,1.04,0.001,
richard_kinder,KMI,11.57,,,,
richard_kurtz,ALIT,,,,,
richard_lefrak,BKU,,,,,
richard_sands,STZ,,,,,
richard_schulze,BBY,7.54,,,,
richard_teets_jr,STLD,,,,,
rick_caruso,KHC,,,,,
rick_cohen,SYM,,,,,
rick_smith,AXON,3.8,,,31.201,
rick_workman,OWL,,,,,
rob_walton,WMT,,,,,
robert_bass,T,,,,,
robert_duggan,SMMT,74.8,,0.16,,
robert_fisher,GAP,,,,,
robert_johnson,JNJ,,,,,
robert_muglia,SNOW,,,,,
robert_pender,VG,,,,,
robert_pera,UI,,,0.63,,
robert_rowling,RSI,,,,,
robert_sands,STZ,,,,,
robert_wood_johnson_iv,JNJ,,,14.03,1220.308,6.16
robyn_jones,GSHD,,,,,
rodger_riney,SBUX,,,,,
rodney_sacks,MNST,,,1.7709651178754822e+17,1.2000001100000101e+17,1.0498230103062962e+17
roger_penske,PAG,,,8.78,1750.0,6.0
romesh_t_wadhwani,JPM,,,,,
ron_corio,ARRY,,,,,
ron_shaich,BJRI,,,,,
ronald_clarke,CPAY,,,28.05,1200.0,16.55
ronald_lauder,EL,,,,,
ronald_perelman,SIGA,,,,,
ronda_stryker,SYK,,,,,
ross_perot_jr,NET,,,,,
rupert_johnson_jr,BEN,20.0,,,,
rupert_murdoch,FOXA,,,32.98,3000.0,10.59
ryan_cohen,BABA,,,,,
ryan_graves,LMND,,,,,
ryan_horton,DHI,,,,,
ryan_smith,PAYC,,,,552.944,2.0
s_curtis_johnson,SEE,,,1.05,340.225,0.44
safra_catz,ORCL,,,1.11,950.0,
sam_altman,OKLO,,,,,
sanjay_gajendra,ALAB,,,50.93,575.833,49.54
sanjit_biswas,IOT,,,19.83,49.621,19.73
sarah_humphreys_atkins,CRM,,,,,
satya_nadella,MSFT,,,96.5,2500.0,84.25
scot_french,BLK,,,,,
scott_cook,INTU,,,,,
scott_duncan,EPD,,,,,
scott_kapnick,BLK,,,,,
scott_nuttall,KKR,,,,,
sean_parker,META,,,,,
sergey_brin,GOOGL,,,,,
seth_boro,CPNG,,,,,
shantanu_narayen,ADBE,,,51.17,1500.0,45.38
sharron_hunt,AVGO,,,,,
sheryl_sandberg,META,,,,,
shuo_wang,ALAB,,,,,
shyam_sankar,DNA,,,,,
sid_bass,XOM,,,,,
stanley_hubbard,T,,,,,
stanley_tang,DASH,,,,,
stefan_kaluzny,GAP,,,,,
stephane_bancel,MRNA,,,19.93,1677.739,6.9
stephen_cohen_palantir,PLTR,,,,,
stephen_ketchum,CPRT,,,,,
stephen_ross,QXO,,,,,
stephen_schwarzman,BX,,,,,
steve_ballmer,MSFT,,,,,
steve_case,T,,,,,
steve_ells,CMG,,,,,
steve_wynn,WYNN,,,,,
steven_conine,CARG,,,,,
steven_rales,DHR,6.1,,,,
steven_sarowitz,ANGX,,,,,
steven_tisch,L,,,,,
steven_udvar_hazy,AL,,,,,
stewart_butterfield,CRM,,,,,
stewart_resnick,CG,,,,,
stuart_miller,LEN,,,29.51,1000.0,25.74
sue_gross,L,,,,,
sundar_pichai,GOOGL,,,8.3,2015.385,0.41
susan_ocampo,MTSI,,,,,
tamara_gustavson,PSA,,,,,
tarek_mansour,JNJ,,,,,
ted_turner,GS,,,,,
tench_coxe,APAM,,,,,
terry_leprino,STZ,,,,,
terry_taylor,MTZ,,,,,
theodore_leonsis,AXP,,,,,
theresia_gouw,META,,,,,
thierry_cruanes,SNOW,,,,,
thomas_b_hagen,ERIE,,,,,
thomas_duff,CNA,,,,,
thomas_frist_jr,HCA,,,,,
thomas_james,RJF,,,7.0,500.0,0.6
thomas_lee,DIS,,,,,
thomas_mueller,MNST,,,,,
thomas_peterffy,IBKR,,,0.77,591.5,
thomas_powell,POWL,,,,,
thomas_pritzker,H,1.8,22.7,6.87,655.444,
thomas_siebel,AI,,,25.52,1000.0,11.51
thomas_tull,BYND,,,,,
tilman_fertitta,DKNG,,,,,
tim_cook,AAPL,,,74.29,3000.0,57.54
