company,time,operating_margin_pct
DELL,2023,5.6
DELL,2024,5.9
DELL,2025,2.3
DELL,2026,7.2
DHR,2016,16.2
DHR,2017,5.1
DHR,2018,4.8
DIS,2017,26.8
DIS,2018,26.4
DIS,2019,4.9
DIS,2020,0.9
DIS,2021,11.5
DIS,2022,14.7
DIS,2023,14.5
DIS,2024,17.1
DIS,2025,18.6
DKNG,2022,-67.5
DKNG,2023,-21.5
DKNG,2024,-12.8
DKNG,2025,-0.3
DKS,2017,5.7
DKS,2018,2.1
DKS,2019,1.7
DKS,2020,4.3
DKS,2021,7.7
DKS,2022,16.5
DKS,2023,11.8
DKS,2024,9.9
DKS,2025,11.0
DLB,2008,44.8
DLB,2009,50.5
DLB,2010,46.5
DLB,2011,45.0
DLB,2012,39.1
DLB,2013,27.0
DLB,2014,28.5
DLB,2015,22.0
DLB,2016,22.6
DLB,2017,23.0
DLB,2018,25.6
DLB,2019,20.7
DLB,2020,18.8
DLB,2021,26.9
DNLI,2018,-35.9
DNLI,2020,18.7
DNLI,2023,-59.5
DOCS,2020,19.0
DOCS,2021,25.8
DOCS,2022,33.0
DOCS,2023,29.9
DOCS,2024,34.5
DOCS,2025,39.9
DWSN,2013,6.6
DWSN,2014,-6.8
DWSN,2015,-3.5
DWSN,2016,-8.5
DWSN,2017,-3.7
DWSN,2018,-7.7
DWSN,2019,-4.3
EB,2016,-26.3
EB,2017,-16.6
EB,2018,-13.3
EB,2019,-21.4
EB,2021,-36.2
EB,2022,-17.9
EB,2023,-12.6
EBAY,2009,16.7
EBAY,2010,22.4
EBAY,2011,20.4
EBAY,2012,20.5
EBAY,2013,21.0
EBAY,2014,19.6
ECPG,2009,21.1
ECPG,2010,25.9
ECPG,2011,25.8
ECPG,2012,27.7
ECPG,2013,25.6
ECPG,2014,29.8
ECPG,2015,21.1
ECPG,2016,23.5
ECPG,2017,27.3
ECPG,2018,30.7
ECPG,2019,31.8
ECPG,2020,35.5
ECPG,2021,39.2
ECPG,2022,33.1
ECPG,2023,1.4
ECPG,2024,12.0
ECPG,2025,35.4
EL,2017,14.4
EL,2018,2.0
EL,2019,1.5
EL,2020,-3.8
EL,2021,16.1
EL,2022,17.9
EL,2023,9.5
EL,2024,6.2
EL,2025,-5.5
EPD,2007,4.5
EPD,2008,5.0
EPD,2009,7.1
EPD,2010,1.5
EPD,2011,2.1
EPD,2012,1.9
EPD,2013,1.9
EPD,2014,1.9
EPD,2016,15.6
EPD,2017,13.4
EPD,2018,4.5
EPD,2019,4.3
EPD,2020,18.5
EPD,2021,15.0
EPD,2022,11.9
EPD,2023,13.9
EPD,2024,13.1
EPD,2025,13.8
ERIE,2013,3.3
ERIE,2014,3.6
ERIE,2015,15.4
ERIE,2016,18.3
ERIE,2017,17.0
ESS,2017,34.7
ESS,2018,36.6
ESS,2019,32.9
ESS,2020,32.9
ESS,2021,36.8
ESS,2022,37.0
ESS,2023,35.0
ESS,2024,39.6
ESS,2025,47.6
ET,2008,11.8
ET,2009,20.5
ET,2010,15.7
ET,2011,4.1
ET,2012,2.7
ET,2013,-0.3
ET,2014,0.3
ET,2015,0.6
ET,2016,-1.9
ET,2017,6.7
ET,2018,9.9
ET,2019,3.1
ET,2020,3.4
ET,2021,13.0
ET,2022,8.6
ET,2023,10.6
ET,2024,11.1
ET,2025,10.6
EXE,2007,34.0
EXE,2008,12.5
EXE,2010,29.9
EXE,2011,25.1
EXE,2012,-13.8
EXE,2013,11.8
EXE,2014,16.6
EXE,2016,-56.0
EXE,2017,12.0
EXE,2018,8.6
EXE,2019,-0.4
EXE,2020,3.3
EXE,2021,16.9
EXE,2022,32.2
EXE,2023,36.0
EXE,2024,-19.0
EXE,2025,20.4
FANG,2017,50.2
FANG,2018,46.5
FANG,2019,-9.7
FANG,2021,58.9
FANG,2022,67.5
FANG,2023,54.3
FANG,2024,39.7
FANG,2025,8.4
FDX,2008,5.5
FDX,2009,2.1
FDX,2010,5.8
FDX,2011,2.3
FDX,2012,2.0
FDX,2013,1.1
FDX,2014,2.6
FDX,2015,-2.8
FDX,2016,-0.1
FDX,2017,2.6
FDX,2018,2.3
FIG,2023,-14.5
FIGR,2023,-23.6
FIGR,2024,2.7
FIGR,2025,23.2
FIZZ,2018,20.9
FIZZ,2019,17.7
FIZZ,2020,16.6
FIZZ,2021,21.2
FIZZ,2022,18.3
FIZZ,2023,15.9
FIZZ,2024,18.3
FIZZ,2025,19.6
FOUR,2018,-2.3
FOUR,2019,-0.6
FOUR,2020,-0.7
FOUR,2021,-3.6
FOUR,2022,4.8
FOUR,2023,4.5
FOUR,2024,7.4
FOUR,2025,8.4
FSLR,2016,-19.6
FSLR,2017,6.0
FSLR,2018,1.8
FSLR,2019,-5.3
FSLR,2020,11.7
FSLR,2021,20.1
FSLR,2022,-1.0
FSLR,2023,25.8
FSLR,2024,33.2
FSLR,2025,30.6
FTNT,2017,7.3
FTNT,2018,13.0
FTNT,2019,16.0
FTNT,2020,20.5
FTNT,2021,19.5
FTNT,2022,21.9
FTNT,2023,23.4
FTNT,2024,30.3
FTNT,2025,30.7
GAP,2017,7.7
GAP,2018,9.3
GAP,2019,8.2
GAP,2020,3.5
GAP,2021,-6.2
GAP,2022,4.9
GAP,2023,-0.4
GAP,2024,3.8
GAP,2025,7.4
GAP,2026,7.3
GDDY,2016,2.7
GDDY,2017,3.0
GDDY,2018,1.6
GDDY,2019,2.5
GDDY,2020,8.2
GDDY,2021,10.0
GDDY,2022,12.2
GDDY,2023,12.9
GDDY,2024,19.5
GDDY,2025,22.8
GE,2007,15.1
GE,2008,12.2
GE,2009,10.0
GE,2010,11.5
GE,2011,14.0
GE,2012,15.5
GMED,2016,27.3
GMED,2017,25.4
GMED,2018,23.7
GMED,2019,21.9
GMED,2020,14.1
GMED,2021,17.9
GMED,2022,22.3
GMED,2023,8.5
GMED,2024,6.6
GMED,2025,16.3
GOOGL,2013,27.7
GOOGL,2014,25.0
GOOGL,2015,25.8
GOOGL,2016,26.3
GOOGL,2017,23.6
GOOGL,2018,20.1
GOOGL,2019,21.1
GOOGL,2020,22.6
GOOGL,2021,30.6
GOOGL,2023,27.4
GOOGL,2024,32.1
GOOGL,2025,32.0
GPRO,2012,10.2
GPRO,2013,10.0
GPRO,2014,13.4
GPRO,2015,3.4
GPRO,2016,-31.5
GPRO,2017,-13.9
GPRO,2018,-8.2
GPRO,2019,-0.2
GPRO,2020,-4.1
GPRO,2021,9.8
GPRO,2022,3.6
GPRO,2023,-7.5
GPRO,2024,-16.8
GPRO,2025,-12.8
GRMN,2017,21.9
GRMN,2018,23.3
GRMN,2019,25.2
GRMN,2020,25.2
GRMN,2021,24.5
GRMN,2022,21.1
GRMN,2023,20.9
GRMN,2024,25.3
GRMN,2025,25.9
GSHD,2017,2.6
GSHD,2018,2.3
GSHD,2019,4.2
GSHD,2020,17.0
