person,time,worth
ai_luming,2022,1343
aidan_barclay,2022,1440
aidan_barclay,2023,1084
airat_shaimiev,2013,1247
airat_shaimiev,2014,1229
airat_shaimiev,2015,1274
airat_shaimiev,2017,1216
airat_shaimiev,2018,1304
airat_shaimiev,2019,1352
airat_shaimiev,2020,1117
airat_shaimiev,2021,1400
airat_shaimiev,2022,1152
airat_shaimiev,2023,1265
airat_shaimiev,2024,2114
airat_shaimiev,2025,2017
aiyawatt_srivaddhanaprabha,2019,6136
aiyawatt_srivaddhanaprabha,2020,3759
aiyawatt_srivaddhanaprabha,2021,1000
aiyawatt_srivaddhanaprabha,2022,1056
aiyawatt_srivaddhanaprabha,2023,1627
aiyawatt_srivaddhanaprabha,2024,1233
aiyawatt_srivaddhanaprabha,2025,1008
ajay_balvantray_parekh,2019,1040
ajay_balvantray_parekh,2020,1422
ajay_balvantray_parekh,2021,1600
ajay_balvantray_parekh,2022,2016
ajay_balvantray_parekh,2023,1717
ajay_balvantray_parekh,2024,2114
ajay_balvantray_parekh,2025,2017
ajay_banga,2022,1056
ajay_bhardwaj,2024,881
ajay_jaisinghani,2022,960
ajay_jaisinghani,2023,904
ajay_jaisinghani,2024,1409
ajay_jaisinghani,2025,1467
ajay_kalsi,2011,1987
ajay_kalsi,2012,2419
ajay_kalsi,2013,2381
ajay_kalsi,2014,2068
ajay_kalsi,2017,1327
ajay_kalsi,2018,1304
ajay_kalsi,2025,1192
ajay_piramal,2010,1167
ajay_piramal,2011,1636
ajay_piramal,2012,1612
ajay_piramal,2013,1814
ajay_piramal,2014,1621
ajay_piramal,2015,2216
ajay_piramal,2016,2003
ajay_piramal,2017,4092
ajay_piramal,2018,5326
ajay_piramal,2019,4576
ajay_piramal,2020,1727
ajay_piramal,2021,4000
ajay_piramal,2022,4032
ajay_piramal,2023,2712
ajay_piramal,2024,2466
ajay_piramal,2025,2842
ajit_prabhu,2024,881
akio_nitori,2011,1402
akio_nitori,2012,1382
akio_nitori,2013,1134
akio_nitori,2014,1453
akio_nitori,2015,1828
akio_nitori,2016,2226
akio_nitori,2017,3318
akio_nitori,2018,4782
akio_nitori,2019,3640
akio_nitori,2020,3759
akio_nitori,2021,5200
akio_nitori,2022,3840
akio_nitori,2023,2983
akio_nitori,2024,4052
akio_nitori,2025,2842
akira_mori,2001,4890
akira_mori,2002,4943
akira_mori,2003,5891
akira_mori,2004,3283
akira_mori,2005,4121
akira_mori,2006,5611
akira_mori,2007,7068
akira_mori,2008,9120
akira_mori,2009,4947
akira_mori,2010,7352
akira_mori,2011,7949
akira_mori,2012,4032
akira_mori,2013,5670
akira_mori,2014,4695
akira_mori,2015,4099
akira_mori,2016,5453
akira_mori,2017,4866
akira_mori,2018,6848
akira_mori,2019,4888
akira_mori,2020,3454
akira_mori,2021,4000
akira_mori,2022,3552
akira_mori,2023,2531
akira_mori,2024,3259
akira_mori,2025,3851
akshay_bansarilal_arora,2025,1375
alain_bouchard,2013,1304
alain_bouchard,2014,1956
alain_bouchard,2015,2770
alain_bouchard,2016,3005
alain_bouchard,2017,3649
alain_bouchard,2018,3587
alain_bouchard,2019,3848
alain_bouchard,2020,3149
alain_bouchard,2021,4200
alain_bouchard,2022,4800
alain_bouchard,2023,5424
alain_bouchard,2024,7048
alain_bouchard,2025,6052
alain_merieux,2005,1288
alain_merieux,2006,1995
alain_merieux,2007,2604
alain_merieux,2008,3404
alain_merieux,2009,2827
alain_merieux,2010,4668
alain_merieux,2011,5026
alain_merieux,2012,4262
alain_merieux,2013,3515
alain_merieux,2014,4248
alain_merieux,2015,3878
alain_merieux,2016,3672
alain_merieux,2017,4424
alain_merieux,2018,3478
alain_merieux,2019,5200
alain_merieux,2020,5994
alain_merieux,2021,8200
alain_merieux,2022,6431
alain_merieux,2023,5695
alain_merieux,2024,5814
alain_merieux,2025,6694
alain_taravella,2012,1152
alain_taravella,2013,1134
alain_taravella,2014,1453
alain_taravella,2015,1440
alain_taravella,2016,1558
alain_taravella,2017,1659
alain_taravella,2018,2391
alain_taravella,2019,1976
alain_taravella,2020,1320
