listed_company,time,gross_margin_pct
BRKR,2017,14.5
BRKR,2018,14.4
BSX,2012,70.4
BSX,2013,70.3
BSX,2014,69.3
BSX,2015,65.7
BSX,2016,65.7
BXP,2017,61.7
BXP,2018,60.7
BXP,2019,61.7
BXP,2020,61.3
BXP,2021,62.8
BXP,2022,62.1
BXP,2023,61.1
BXP,2024,59.9
BXP,2025,59.1
BYND,2017,-6.7
BYND,2018,20.0
BYND,2019,11.2
BYND,2020,6.2
BYND,2021,25.2
BYND,2022,-5.7
BYND,2023,-24.1
BYND,2024,12.8
CARG,2015,95.7
CARG,2016,29.2
CARG,2017,26.9
CDRE,2020,37.8
CDRE,2021,39.9
CDRE,2022,38.4
CDRE,2023,41.6
CDRE,2024,41.1
CDRE,2025,42.5
CHCI,2017,5.6
CHCI,2018,-0.8
COLM,2016,46.7
COLM,2017,47.0
COLM,2018,49.5
COLM,2019,49.8
CPB,2017,10.2
CPB,2018,8.3
CPB,2019,7.5
CPB,2020,8.6
CPNG,2022,22.9
CPNG,2023,25.4
CPNG,2024,29.2
CPNG,2025,29.4
CPRT,2014,10.1
CPRT,2015,10.4
CPRT,2016,11.2
CPRT,2017,11.6
CPRT,2018,10.4
CRM,2008,77.1
CRM,2009,79.5
CRM,2010,21.9
CRM,2011,22.0
CRM,2012,21.9
CRM,2013,21.4
CRM,2014,21.4
CRM,2015,20.3
CRM,2016,20.5
CRM,2017,19.9
CRVL,2023,22.0
CRVL,2024,21.6
CRVL,2025,23.4
CRWD,2018,54.1
CRWD,2019,65.1
CRWD,2020,70.6
CRWD,2021,73.7
CRWD,2022,73.6
CRWD,2023,73.2
CRWD,2024,75.3
CRWD,2025,75.0
CRWD,2026,74.7
CVNA,2017,7.9
CVNA,2018,10.1
CVNA,2019,3.6
CVNA,2020,4.4
CVNA,2021,15.1
CVNA,2022,9.2
CVNA,2023,16.0
CVNA,2024,21.0
CVNA,2025,20.6
CWGL,2016,15.3
CWGL,2017,49.4
CWGL,2018,13.2
CWGL,2019,37.4
CWGL,2020,30.7
CWGL,2021,43.6
CWGL,2022,44.2
CWGL,2023,46.5
CWGL,2024,48.0
CWGL,2025,47.2
DBX,2016,53.8
DBX,2017,66.7
DBX,2018,71.6
DBX,2019,75.3
DBX,2020,78.3
DBX,2021,79.4
DBX,2022,80.9
DBX,2023,80.9
DBX,2024,82.5
DBX,2025,80.1
DDOG,2017,76.8
DDOG,2018,76.5
DDOG,2019,75.5
DDOG,2020,78.4
DDOG,2021,77.2
DDOG,2022,79.3
DDOG,2023,80.7
DDOG,2024,80.8
DDOG,2025,80.0
DDS,2010,32.0
DDS,2011,10.6
DDS,2012,10.4
DDS,2013,10.7
DDS,2014,9.9
DDS,2015,10.4
DDS,2016,9.1
DDS,2017,9.0
DDS,2018,9.8
DDS,2019,9.1
DDS,2020,31.0
DDS,2021,27.8
DDS,2022,41.4
DDS,2023,41.3
DDS,2024,39.6
DDS,2025,38.9
DELL,2018,26.0
DELL,2019,27.6
DELL,2020,8.3
DELL,2021,31.2
DELL,2022,5.6
DELL,2023,22.2
DELL,2024,23.6
DELL,2025,5.9
DELL,2026,20.0
DHI,2010,2.9
DHI,2011,4.4
DHR,2016,55.3
DHR,2017,15.5
DHR,2018,14.9
DKS,2017,29.9
DKS,2018,9.0
DKS,2019,8.2
DKS,2020,29.2
DKS,2021,31.8
DKS,2022,38.3
DKS,2023,34.6
DKS,2024,34.9
DKS,2025,35.9
DLB,2008,89.4
DLB,2009,91.0
DLB,2010,85.7
DLB,2011,22.8
DLB,2012,21.4
DLB,2013,89.4
DLB,2014,22.3
DLB,2015,21.4
DLB,2016,19.8
DLB,2017,19.7
DLB,2018,19.9
DLB,2019,20.4
DLB,2020,19.7
DLB,2021,89.9
DOCS,2020,87.2
DOCS,2021,84.9
DOCS,2022,88.4
DOCS,2023,87.2
DOCS,2024,89.3
DOCS,2025,90.2
EB,2016,58.3
EB,2017,59.5
EB,2018,58.6
EB,2019,60.5
EB,2020,41.2
EB,2021,62.4
