person,name,last_name,chinese_name,gender,birth_year,country,industry,company,source,title,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
arthur_demoulas,Arthur Demoulas,,亚瑟·德莫拉斯,Male,,usa,Multi-Brand Retail,Market Basket,,,,,,,,
arthur_levine,Arthur Levine,Levine,,Male,1952,usa,Finance & Investments,,Private equity,,,,,,,
arturo_moreno,Arturo Moreno,Moreno,阿图罗·莫雷诺,Male,1947,usa,Sports,Anaheim Angels,"Billboards, Los Angeles Angels",,GOOGL,,,,,
arvind_krishna,Arvind Krishna,,Arvind Krishna,Male,1963,usa,Software & Services,IBM ,,,,,,,,
aubrey_mcclendon,Aubrey McClendon,McClendon,,Male,1962,usa,Energy,,natural gas,,,,,,,
august_troendle,August Troendle,Troendle,August J Troendle,Male,1956,usa,Healthcare,Medpace,Pharmaceutical services,,MEDP,,,,,
austen_cargill_ii,"Austen Cargill, II.",Cargill,奥斯丁·嘉吉二世,Male,1951,usa,Food & Beverage,Cargill,Cargill,,,,,,,
austin_hearst,Austin Hearst,Hearst,,Male,1955,usa,Media,,Hearst Corp,,,,,,,
austin_russel,Austin Russell,Russell,Austin Russel,Male,1997,usa,Automotive,Luminar Technologies,sensors,"Founder, Luminar",,,,,,
autry_stephens,Autry Stephens,Stephens,奥特里·斯蒂芬斯,Male,1938,usa,Energy,Endeavor Energy Resources,Oil,,,,,,,
avram_glazer,Avram Glazer,Glazer,Avram Glazer,Male,1961,usa,Sports,Tampa Bay Buccaneers,"Manchester United, Tampa Bay Buccaneers",,CNA,,,,,
axel_stawski,Axel Stawski,Stawski,Axel Stawski,Male,1951,usa,Real Estate,Stawski Partners,Real estate,,,,,,,
b_wayne_hughes_jr,"B. Wayne Hughes, Jr.",Hughes,B. Wayne Hughes Jr,Male,1959,usa,Real Estate,Public Storage,Storage facilities,,PSA,,,,,
baiju_bhatt,Baiju Bhatt,Bhatt,Baiju Bhatt,Male,1985,usa,Finance & Investments,Robinhood Markets,Stock trading app,,HOOD,,,,,
barb_van_andel_gaby,Barb Van Andel-Gaby,,巴勃·范·安德尔·加比,Female,,usa,Retail ,Amway,,,,,,,,
barbara_banke,Barbara Banke,Banke,,Female,1954,usa,Food & Beverage,,Wine,,,,,,,
barbara_carlson_gage,Barbara Carlson Gage,Gage,芭芭拉·卡尔森·盖奇,Female,1944,usa,Service,Carlson,"hotels, travel",,,,,,,
barbara_piasecka_johnson,Barbara Piasecka Johnson,Johnson,,Female,1939,usa,Health care,,Johnson & Johnson,,,,,,,
barbara_tyson,Barbara Tyson,Tyson,芭芭拉·泰森,Female,1949,usa,Food & Beverage,Tyson Foods,Food processing,,TSN,,,17.52,1212.0,4.93
barry_canton,Barry Canton,,Barry Canton,Male,1980,usa,Biotechnology,Ginkgo Bioworks Holdings ,,,,,,,,
barry_diller,Barry Diller,Diller,巴里·迪勒,Male,1942,usa,Media & Entertainment,Expedia,Online media,,IAC,,,3.21,500.0,
barry_silbert,Barry Silbert,Silbert,Barry Silbert,Male,1979,usa,Finance & Investments,Digital Currency,cryptocurrency,,,,,,,
barry_sternlicht,Barry Sternlicht,Sternlicht,Barry Sternlicht,Male,1961,usa,Finance & Investments,Starwood Capital,Private equity,,STWD,,,,,
behdad_eghbali,Behdad Eghbali,Eghbali,Behdad Eghbali,Male,1976,usa,Finance & Investments,Clearlake Capital,Private equity,,SSNC,,,,,
ben_ashkenazy,Ben Ashkenazy,Ashkenazy,Ben Ashkenazy,Male,1970,usa,Real Estate,Ashkenazy Acquisitions,Real estate,,TKO,,,,,
ben_chestnut,Ben Chestnut,Chestnut,Ben Chestnut,Male,1974,usa,Technology,Mailchimp,Email marketing,,INTU,,,,,
ben_lamm,Ben Lamm,Lamm,,Male,1982,usa,Technology,,biotech,,,,,,,
ben_navarro,Ben Navarro,Navarro,Ben Navarro,Male,1963,usa,Finance & Investments,Sherman Financial Group,Investments,,MDLN,,,,,
ben_silbermann,Ben Silbermann,Silbermann,本·西尔伯曼,Male,1982,usa,Media & Entertainment,Pinterest,Social media,"Cofounder, Pinterest",PINS,,34.54,,,
bennet_rosenthal,Bennett Rosenthal,Rosenthal,Bennet Rosenthal,Male,1964,usa,Finance & Investments,Ares Management,Finance,,ARES,,,,,
bennett_dorrance,Bennett Dorrance,Dorrance,Bennett Dorrance,Male,1946,usa,Food & Beverage,Campbell Soup,Campbell Soup,,CPB,,,,,
benoit_dageville,Benoit Dageville,Dageville,Benoit Dageville,Male,1966,usa,Technology,Snowflake,Software,,SNOW,1.5,,,,
bernard_marcus,Bernard Marcus,Marcus,伯纳德·马库斯,Male,1929,usa,Fashion & Retail,Home Depot,Home Depot,"Co-founder, ex chairman of the board, Home Depot",,,,,,
bernard_saul_ii,"Bernard Saul, II.",Saul,伯纳德·索尔二世,Male,1932,usa,Finance & Investments,Saul Centres,"Banking, real estate","Chairman and CEO, Saul Centers",BFS,46.5,,1.38,125.0,1.13
bert_beveridge,Bert Beveridge,Beveridge,Bert Beveridge,Male,1962,usa,Food & Beverage,Titos Vodka,Vodka,,,,,,,
bharat_desai,Bharat Desai,Desai,巴拉特·德赛,Male,1953,usa,Technology,Syntel,IT consulting,"Chairman and Co-founder, Syntel",GSHD,,,,,
bijan_tehrani,Bijan Tehrani,Tehrani,,Male,1994,usa,Gambling & Casinos,,Online casino,,,,,,,
bill_alfond,Bill Alfond,Alfond,比尔·阿方德,Male,1948,usa,Fashion & Retail,Berkshire Hathaway,Shoes,,,,,,,
bill_cummings,Bill Cummings,Cummings,,Male,1937,usa,Real Estate,,Commercial real estate,,,,,,,
bill_gates,Bill Gates,Gates,比尔·盖茨,Male,1956,usa,Technology,Microsoft,Microsoft,"Chairman, The Gates Foundation",MSFT,,,,,
bill_gross,Bill Gross,Gross,比尔·格罗斯,Male,1944,usa,Finance & Investments,Investments,Investments,"Cofounder and Co-Chief Investment Officer, Pacific Investment Management Company LLC",,,,,,
bill_haslam,Bill Haslam,Haslam,,Male,1959,usa,Fashion & Retail,,Gas stations,,RHP,,,,,
bill_marriott_jr,"Bill Marriott, Jr.",Marriott,小比尔·万豪,Male,1934,usa,Service,Marriott International,hotels,,,,,,,
blair_parry_okeden,Blair Parry-Okeden,Parry-Okeden,布莱尔·帕里·奥克登,Female,1950,usa,Media & Entertainment,Cox Enterprises,"Media, automotive",,,,,,,
bob_parsons,Bob Parsons,Parsons,鲍勃·帕森斯,Male,1951,usa,Technology,GoDaddy,Web hosting,,GDDY,,,,,
bob_pender,Bob Pender,Pender,,Male,1953,usa,Energy,,oil & gas,,,,,,,
bob_prince,Bob Prince,,Bob Prince,Male,,usa,Financial Services,Bridgewater Associates,,,,,,,,
bobby_murphy,Bobby Murphy,Murphy,鲍比·墨菲,Male,1988,usa,Technology,Snapchat,Snapchat,"Cofounder, Snap",SNAP,,,,,
bom_suk_kim,Bom Kim,Kim,Bom Suk Kim,Male,1979,usa,Technology,Coupang,Online retailing,Coupang,CPNG,,,2.07,1100.0,
boris_jordan,Boris Jordan,Jordan,Boris Jordan,Male,1969,usa,Manufacturing,Curaleaf,cannabis,,,,,,,
brad_garlinghouse,Brad Garlinghouse,,Brad Garlinghouse,Male,1971,usa,Blockchain,Ripple,,,,,,,,
brad_jacobs,Brad Jacobs,Jacobs,Brad Jacobs,Male,1956,usa,Logistics,GXO Logistics,Logistics,,QXO,49.0,,189.37,418.269,188.2
brad_kelley,Brad Kelley,Kelley,布拉德·凯利,Male,1957,usa,Real Estate,Commonwealth Brands,Tobacco,,AGEN,,,,,
brad_keywell,Brad Keywell,Keywell,Brad Keywell,Male,1970,usa,Technology,Uptake,"Software, investments",,TEM,,,,,
bradley_s_jacob,Bradley S Jacob,,Bradley S Jacob,Male,1957,usa,Transportation & Logistics,XPO Logistics,,,,,,,,
bradley_wayne_hughes,B. Wayne Hughes,Hughes,布拉德利·韦恩·休斯,Male,1936,usa,Service,Public Storage,self storage,,,,,,,
brannin_mcbee,Brannin McBee,McBee,,Male,1985,usa,Technology,,Technology,,CRWV,,,,,
brett_adcock,Brett Adcock,Adcock,Brett Adcock,Male,1986,usa,Technology,Figure AI,Robots,"CEO & founder, Figure AI",ACHR,,,,,
brett_hildebrand,Brett Hildebrand,Hildebrand,,Male,1962,usa,Finance & Investments,,"Banking, credit cards",,,,,,,
brian_acton,Brian Acton,Acton,布莱恩·阿克顿,Male,1972,usa,Technology,Facebook,WhatsApp,"Cofounder, WhatsApp Inc.",,,,,,
brian_armstrong,Brian Armstrong,Armstrong,布赖恩·阿姆斯特朗,Male,1983,usa,Finance & Investments,Coinbase,Cryptocurrency,,COIN,,,7.24,1000.0,
brian_chesky,Brian Chesky,Chesky,布赖恩·切斯基,Male,1982,usa,Technology,Airbnb,Airbnb,"CEO and Cofounder, AirBnB",ABNB,,,0.19,0.001,
brian_france,Brian France,,布赖恩·法兰西,Male,1962,usa,Media & Entertainment,Nascar Team,,,,,,,,
brian_higgins,Brian Higgins,Higgins,布莱恩·希金斯,Male,1965,usa,Finance & Investments,King Street Capital Management,Hedge funds,"Co-Founder, King Street Capital Management",CWGL,,,,,
brian_roberts,Brian Roberts,Roberts,Brian Roberts,Male,1959,usa,Media & Entertainment,Comcast,Comcast,"CEO, Comcast",CMCSA,,,33.86,2500.001,17.91
brian_sheth,Brian Sheth,Sheth,布莱恩·谢思,Male,1978,usa,Finance & Investments,Vista Equity Partners,investments,,,,,,,
brian_venturo,Brian Venturo,Venturo,,Male,1985,usa,Technology,,Technology,,CRWV,,,,,
bruce_halle,Bruce Halle,Halle,,Male,1933,usa,Automotive,Discount Tire,tires,"Chairman, Discount Tire Co.",,,,,,
bruce_karsh,Bruce Karsh,Karsh,布鲁斯·卡什,Male,1956,usa,Finance & Investments,Oaktree Capital,Private equity,"President, Oaktree Capital Group LLC",,,,,,
bruce_kovner,Bruce Kovner,Kovner,布鲁斯·科夫纳,Male,1945,usa,Finance & Investments,CAM Capital,Hedge funds,"Founder, Caxton Associates LP",,,,,,
bruce_nordstrom,Bruce Nordstrom,Nordstrom,布鲁斯·诺德斯特伦,Male,1936,usa,Fashion & Retail,Nordstrom,Nordstrom department stores,,,,,,,
bruce_springsteen,Bruce Springsteen,Springsteen,,Male,1950,usa,Media & Entertainment,,Music,Musician,,,,,,
bruce_toll,Bruce Toll,Toll,,Male,1943,usa,Real Estate,,Homebuilding,,TOL,,,,,
bryan_glazer,Bryan Glazer,Glazer,Bryan Glazer,Male,1965,usa,Sports,Tampa Bay Buccaneers,"Manchester United, Tampa Bay Buccaneers",,JPM,,,,,
bryan_sheffield,Bryan Sheffield,Sheffield,,Male,1980,usa,Energy,,oil & gas,,,,,,,
bubba_cathy,Bubba Cathy,Cathy,布巴·凯西,Male,1954,usa,Food & Beverage,Chick - Fil - A,Chick-fil-A,,,,,,,
byron_trott,Byron Trott,Trott,Byron D. Trott,Male,1959,usa,Finance & Investments,BDT & MSD Partners,Investments,,,,,,,
c_dean_metropoulos,C. Dean Metropoulos,Metropoulos,迪恩·梅特珀罗斯,Male,1946,usa,Food & Beverage,Metropoulos,Investments,,LAZRQ,,,,,
