person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
michael_herz,Michael Herz,Herz,81.0,1944.0,Male,Germany,Coffee,Fashion & Retail,,,2025
michael_hintze,Michael Hintze,Hintze,72.0,1953.0,Male,Australia,Investment,Finance & Investments,"Founder, CQS LLP",,2025
michael_intrator,Michael Intrator,Intrator,56.0,1969.0,Male,United States,Technology,Technology,,no-pic,2025
michael_jaharis,Michael Jaharis,Jaharis,94.0,1931.0,Male,United States,pharmaceuticals,Healthcare,,,2015
michael_jordan,Michael Jordan,Jordan,62.0,1963.0,Male,United States,"Charlotte Hornets, endorsements",Sports,,,2025
michael_kadoorie,Michael Kadoorie,Kadoorie,84.0,1941.0,Male,Hong Kong,"Hotels, energy",Energy,,,2025
michael_kim,Michael Kim,Kim,61.0,1964.0,Male,United States,Private equity,Finance & Investments,MBK Partners,no-pic,2025
michael_klein_5,Michael Klein,Klein,72.0,1953.0,Male,Brazil,retail,Retail,,,2015
michael_kors,Michael Kors,Kors,63.0,1962.0,Male,United States,Retail,Retail,,,2014
michael_krasny,Michael Krasny,Krasny,71.0,1954.0,Male,United States,Retail,Technology,"President, Sawdust Investment Management Corp.",,2025
michael_kum,Michael Kum,Kum,80.0,1945.0,Male,Singapore,Hotels,Real Estate,,,2025
michael_latifi,Michael Latifi,Latifi,62.0,1963.0,Male,Canada,Meat processing,Food & Beverage,,no-pic,2025
michael_lee_chin,Michael Lee-Chin,Lee-Chin,74.0,1951.0,Male,Canada,Mutual funds,Finance & Investments,,,2025
michael_lynch_3,Michael Lynch,Lynch,58.0,1967.0,Male,United Kingdom,software,Technology,,no-pic,2015
michael_mccain_1,Michael McCain,McCain,,,Male,Canada,packaged meats,Food & Beverage,,no-pic,2022
michael_milken,Michael Milken,Milken,79.0,1946.0,Male,United States,Investments,Finance & Investments,,,2025
michael_minhong_yu,Michael Minhong Yu,Yu,63.0,1962.0,Male,China,Education,Service,,no-pic,2025
michael_moritz,Michael Moritz,Moritz,70.0,1955.0,Male,United States,Venture capital,Finance & Investments,"Partner, Sequoia",,2025
michael_novogratz,Michael Novogratz,Novogratz,60.0,1965.0,Male,United States,"Investments, cryptocurrency",Finance & Investments,,no-pic,2025
michael_oleary,Michael O'Leary,O'Leary,62.0,1963.0,Male,Ireland,Ryanair,Service,,no-pic,2018
michael_otto,Michael Otto,Otto,82.0,1943.0,Male,Germany,"Retail, real estate",Fashion & Retail,,,2025
michael_patterson,Michael Patterson,Patterson,50.0,1975.0,Male,United States,Private equity,Finance & Investments,,no-pic,2025
