person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
jim_kennedy,inherited and growing,1947-11-29,Atlanta,Georgia,Married,3.0,,4.0,,,3.0
jim_koch,self-made,1949-05-27,Newton,Massachusetts,Married,4.0,United States,8.0,Cincinnati,,1.0
jim_mckelvey,self-made,1965-10-19,St. Louis,Missouri,Married,2.0,,8.0,,,1.0
jim_walton,inherited and growing,1948-06-07,Bentonville,Arkansas,Married,4.0,,2.0,,,2.0
jimmy_haslam,inherited and growing,1954-03-09,Knoxville,Tennessee,Married,3.0,United States,3.0,Knoxville,Tennessee,2.0
jimmy_john_liautaud,self-made,1964-01-12,Key Largo,Florida,Married,3.0,,9.0,,,
jimmy_rane,self-made,1946-09-15,Abbeville,Alabama,Married,3.0,,,,,
jitendra_mohan,self-made,1973-05-01,Santa Clara,California,,,,,,,
joe_agresti,self-made,1972-05-23,The Woodlands,Texas,Married,,,,,,
joe_gebbia,self-made,1981-08-21,Austin,Texas,In Relationship,,,8.0,,,2.0
joe_kiani,self-made,1964-09-16,Irvine,California,Married,3.0,Iran,,,,
joe_lacob,self-made,1956-01-10,Atherton,California,Married,4.0,United States,,New Bedford,Massachusetts,
joe_lonsdale,self-made,1982-09-12,Austin,Texas,Married,4.0,United States,,Fremont,California,
joe_mansueto,self-made,1956-09-03,Chicago,Illinois,Married,3.0,,8.0,,,2.0
joe_rogers_jr,inherited and growing,1946-12-02,Atlanta,Georgia,Married,,,,,,
joel_glazer,inherited and growing,1967-03-15,Bethesda,Maryland,,,,,,,
joel_greenberg,self-made,1957-08-19,Gladwyne,Pennsylvania,Married,3.0,,,,,
john_a_sobrato,self-made,1939-05-23,Atherton,California,Married,3.0,,7.0,,,4.0
john_abele,self-made,1937-02-02,Shelburne,Vermont,Married,3.0,,,,,
john_arnold,self-made,1974-03-09,Houston,Texas,Married,2.0,,8.0,,,5.0
john_bicket,self-made,1980-03-20,San Francisco ,California,Married,2.0,United States,8.0,Edmond,Oklahoma,1.0
john_brown,self-made,1934-09-15,Atlanta,Georgia,Married,2.0,,6.0,,,2.0
john_catsimatidis,self-made,1948-09-07,New York,New York,Married,2.0,Greece,10.0,,,1.0
john_collison,self-made,1990-08-06,San Francisco ,California,Single,,Ireland,,,,
john_doerr,self-made,1951-06-29,Woodside,California,Married,2.0,United States,8.0,St. Louis,Missouri,2.0
john_fish,self-made,1960-03-09,Boston,Massachusetts,Married,3.0,United States,,,,
john_fisher,inherited,1961-06-01,San Francisco,California,Married,4.0,United States,2.0,San Francisco,California,2.0
