person,ticker,cik
jane_lauder,EB,0001475115
jared_isaacman,FOUR,0001794669
jared_kaplan,PANW,0001327567
jared_kushner,HPK,0001792849
jason_murray,PACS,0002001184
jay_chaudhry,ZS,0001713683
jay_robert_pritzker,ET,0001276187
jayshree_ullal,ANET,0001596532
jayz_shawn_carter,XYZ,0001512673
jb_straubel,QS,0001811414
jean_gigi_pritzker,BYND,0001655210
jean_marc_chapus,KKR,0001404912
jeff_bezos,AMZN,0001018724
jeff_greene,MSTR,0001050446
jeff_lawson,TWLO,0001447669
jeff_rothschild,META,0001326801
jeff_skoll,EBAY,0001065088
jeff_sprecher,ICE,0001571949
jeff_t_green,TTD,0001671933
jeff_tangney,DOCS,0001516513
jeffrey_lorberbaum,MHK,0000851968
jeffrey_michael,CRVL,0000874866
jennifer_gilbert,RKT,0001805284
jennifer_pritzker,H,0001468174
jensen_huang,NVDA,0001045810
jeremy_allaire,CRCL,0001876042
jerry_jones,CRK,0000023194
jerry_moyes,KNX,0001492691
jerry_yang,BABA,0001577552
jessica_steinbrenner,GS,0000886982
jim_breyer,BX,0001393818
jim_coulter,TPG,0001880661
jim_kavanaugh,ET,0001276187
jim_koch,SAM,0000949870
jim_mckelvey,XYZ,0001512673
jim_walton,WMT,0000104169
jimmy_rane,PRM,0001880319
jitendra_mohan,ALAB,0001736297
jody_allen,AMCX,0001514991
joe_gebbia,ABNB,0001559720
joe_kiani,MASI,0000937556
joe_lonsdale,PLTR,0001321655
joe_mansueto,MORN,0001289419
joe_shoen,UHAL,0000004457
joel_glazer,RKT,0001805284
joel_greenberg,BKE,0000885245
john_a_sobrato,CVNA,0001690820
john_a_sobrato,UHS,0000352915
john_abele,BSX,0000885725
john_bicket,IOT,0001642896
john_brown,SYK,0000310764
john_catsimatidis,JOUT,0000788329
john_doerr,GOOGL,0001652044
john_fish,UBER,0001543151
john_fisher,GAP,0000039911
john_goff,CRGY,0001866175
john_h_macmillan_iv_iv,META,0001326801
john_krystynak,APP,0001751008
john_menard_jr,PII,0000931015
john_morgan,H,0001468174
john_oyler,ONC,0001651308
john_paul_dejoria,HPK,0001792849
john_stanton,COLM,0001050797
john_tyson,TSN,0000100493
johnelle_hunt,JBHT,0000728535
jon_stryker,SYK,0000310764
jon_winkelried,TPG,0001880661
jonathan_gray,BX,0001393818
jonathan_nelson,ADBE,0000796343
jonathan_tisch,L,0000060086
jorge_mas,MTZ,0000015615
jorge_perez,OKLO,0001849056
joseph_bae,KKR,0001404912
joseph_steinberg,CWGL,0001562151
joshua_harris,APO,0001858681
justin_ishbia,UWMC,0001783398
kalen_jackson,INVA,0001080014
kamal_ghaffarian,LUNR,0001844452
karen_pritzker,AAPL,0000320193
karthik_sarma,GBDC,0001476765
katharine_rayner,UWMC,0001783398
kathy_britton,SCHW,0000316709
kavitark_ram_shriram,GOOGL,0001652044
keith_bentley,BSY,0001031308
keith_dunleavy,INVA,0001080014
kelcy_warren,ET,0001276187
ken_kendrick,META,0001326801
ken_xie,FTNT,0001262039
kenneth_dart,ARES,0001176948
kenneth_hao,FCNCB,0000798941
kenneth_langone,LLY,0000059478
kenneth_tropin,META,0001326801
kevin_glazer,KNX,0001492691
kevin_marchetti,LINE,0001868159
kevin_plank,UAA,0001336917
kim_kardashian,FOUR,0001794669
kimbal_musk,TSLA,0001318605
lamar_hunt_jr,BABA,0001577552
larry_culp,GE,0000040545
larry_ellison,ORCL,0001341439
larry_page,GOOGL,0001652044
larry_silverstein,CDRE,0001860543
